pkl_path,model_name,world,seed,N,T,T_full,runtime_sec,ari_train,ari_holdout,gamma_diag_mae,alpha_h_mae,beta_m_mae,gamma_m_rec,gamma_m_mae,theta_corr,r_mae,rho_rec,rho_mae,ess_theta,ess_alpha_h,ess_beta_m,ess_Gamma,ess_pi0,ess_gamma_m,ess_r_nb,rhat_max,waic,ess_rho,ess_u,ess_v
overnight_28may/mixed/rep8/fit_Hurdle-rfree_mixed_N200_T52_seed4008.pkl,Hurdle-rfree,mixed,4008,200,52,92,850.2,0.3567180353367593,0.357560466025679,0.08977551752957835,0.2098659753917731,0.20326384798512873,,,,1.5380088257830835,,,,6.001995652696195,5.3342612752488625,1118.9500157249972,2084.6666612410672,,48.476360158279746,2.101885647610102,,,202.40844302205892,746.0989669287109
overnight_28may/mixed/rep8/fit_heckman-indiv-rfree_mixed_N200_T52_seed4008.pkl,heckman-indiv-rfree,mixed,4008,200,52,92,308.6,0.3593262779884952,0.3619092533833824,0.08874287520189379,0.047744949170826896,0.18579469736316523,,,,1.0101972623380644,2.449335058322483,0.28986701166449663,,4.931724903408659,5.3301507614541626,2007.6451292787638,2342.425484623394,,3521.731131336658,2.423895878326573,,,,
overnight_28may/mixed/rep9/fit_BEMMAOR-indiv-rfree_mixed_N200_T52_seed4009.pkl,BEMMAOR-indiv-rfree,mixed,4009,200,52,92,366.9,0.41844574292175823,0.4421082145907224,0.08842135899218284,0.14586618619874162,0.11675908489694642,1.1039348608876631,0.03118045826629895,0.9206545294609881,0.5139712697583424,,,1538.8651447787547,5.818649163947688,6.175373027436496,1779.2613609159694,2623.57129417738,809.5183077819488,745.6993837459102,1.8494560239255764,,,,
overnight_28may/mixed/rep9/fit_Heckman-global-rfree_mixed_N200_T52_seed4009.pkl,Heckman-global-rfree,mixed,4009,200,52,92,303.1,0.3285278377660728,0.3491309053146937,0.0942542536247603,0.2037914535810144,0.26748885952655305,,,,1.00533905483091,-0.005282326726834729,0.20105646534536695,,5.615622775806833,5.294016491465646,1518.0427385165901,2761.1110457098835,,3240.715166846885,2.0995178424550227,,3934.06173472276,,
overnight_28may/mixed/rep9/fit_Hurdle-rfree_mixed_N200_T52_seed4009.pkl,Hurdle-rfree,mixed,4009,200,52,92,951.0,0.3575904190225407,0.37440589085580034,0.08191839677422257,0.18569470133147692,0.13892904101167028,,,,1.4016320514284761,,,,5.565936026630764,5.308986508544426,1113.1118604206417,1642.9913953435446,,41.57828243168906,2.1213961063316016,,,98.49280203697454,697.8297872065986
overnight_28may/mixed/rep9/fit_heckman-indiv-rfree_mixed_N200_T52_seed4009.pkl,heckman-indiv-rfree,mixed,4009,200,52,92,340.4,0.3604709369073987,0.3803306213165955,0.08266006788928197,0.07934090397154507,0.12142683127117931,,,,0.997130266739061,2.454825946856561,0.2909651893713122,,5.322393910089509,5.304645336956526,1745.459149537311,2585.909153009991,,3188.4250685588377,2.1239752054145375,,,,
overnight_28may/structural/rep0/fit_BEMMAOR-global-rfree_structural_N200_T52_seed4000.pkl,BEMMAOR-global-rfree,structural,4000,200,52,92,5850.3,0.3563792110973317,0.39373334816993055,0.0740422430276136,0.7706916543390637,1.1215379948714665,2.2642536982958834,0.6321268491479417,,0.2672651842918385,,,1373.415247759872,264.8595718663385,5.42478673732588,1253.726927126917,1776.7989761349356,881.2606376007384,1229.4489780023641,2.039118719673699,,,,
overnight_28may/structural/rep0/fit_BEMMAOR-indiv-rfree_structural_N200_T52_seed4000.pkl,BEMMAOR-indiv-rfree,structural,4000,200,52,92,818.6,0.4537289634744296,0.48763366688374754,0.08182103629536697,0.16645472203160708,0.12845546280078868,1.1704274269112491,0.08521371345562456,0.9383079977477279,1.0503675343940453,,,492.25809987427965,5.712371775282709,6.349865974297154,1894.6174178535596,2974.0952784255387,541.6065371098631,781.9148442694773,1.897655401871375,,,,
overnight_28may/structural/rep0/fit_Heckman-global-rfree_structural_N200_T52_seed4000.pkl,Heckman-global-rfree,structural,4000,200,52,92,478.5,0.35661028475124024,0.39390077805467316,0.07423572905595839,0.28134142418133395,0.30709218551570244,,,,1.0056415707709476,0.00016420233394776962,0.00016420233394776962,,5.319821444428844,5.336220868810908,1496.128751539845,2228.409201981213,,3277.510053024143,2.1002030038738897,,3400.0709713921983,,
overnight_28may/structural/rep0/fit_Hurdle-rfree_structural_N200_T52_seed4000.pkl,Hurdle-rfree,structural,4000,200,52,92,745.2,0.36789328425731543,0.4009618463549032,0.0799038858854197,0.21179644447483514,0.11044395672409267,,,,0.4065944171486007,,,,6.256793480290064,5.3092945792741455,1085.9033363601297,1527.6720178026962,,91.833079298099,2.1289219599035487,,,226.86317302333393,494.30312763973205
overnight_28may/structural/rep0/fit_heckman-indiv-rfree_structural_N200_T52_seed4000.pkl,heckman-indiv-rfree,structural,4000,200,52,92,6398.1,0.36929466835696506,0.39270974711319484,0.09400346505417372,0.13374992796032378,0.14812825204723248,,,,1.0077793081658035,0.4939789716618356,0.4939789716618356,,5.333124168241654,4.6570655415309306,7.248126565010984,7.725060346638636,,2788.0902718732577,2.880582972383837,,,,
overnight_28may/structural/rep1/fit_BEMMAOR-global-rfree_structural_N200_T52_seed4001.pkl,BEMMAOR-global-rfree,structural,4001,200,52,92,8364.4,0.39713944725310324,0.376235254970199,0.05466542086699929,0.7801210222785032,1.3626044451802206,2.27863776407431,0.6393188820371549,,0.58832299024185,,,80.01450701499725,41.90340586550233,5.582667115165603,7.054462059345033,7.311654652332512,482.6524737569131,7.366142323913845,1.9534053374585985,,,,
overnight_28may/structural/rep1/fit_BEMMAOR-indiv-rfree_structural_N200_T52_seed4001.pkl,BEMMAOR-indiv-rfree,structural,4001,200,52,92,555.5,0.4564615188756526,0.44575122412212437,0.07028842873423802,0.3021456679746723,0.15723467579817044,1.1087356801944155,0.05436784009720774,0.8823201697346136,0.49034460120040585,,,853.4322915650591,5.578177229836015,6.138864447071001,2064.9510825939597,3335.612348569183,612.0032996443974,689.6120810786746,1.9487198729629325,,,,
overnight_28may/structural/rep1/fit_Heckman-global-rfree_structural_N200_T52_seed4001.pkl,Heckman-global-rfree,structural,4001,200,52,92,462.5,0.3773060893257077,0.36001088438283513,0.07759437662733455,0.34332678035307024,0.3644101834891189,,,,0.9878003107033139,-0.0010127010567637887,0.0010127010567637887,,5.299363822287913,5.316328124579706,1885.8728747041007,2821.840486837796,,3252.024823219655,2.1009832407540587,,4082.877165487251,,
overnight_28may/structural/rep1/fit_Hurdle-rfree_structural_N200_T52_seed4001.pkl,Hurdle-rfree,structural,4001,200,52,92,551.2,0.39584281114976866,0.37742094220287264,0.08569409822865011,0.025657814699717698,0.21165997592359398,,,,1.627026561636639,,,,5.328349462887259,5.361534515068298,1330.7609994946367,1819.4991433074972,,168.98234194111123,2.1089510162272447,,,508.2355390500817,692.3039368345205
overnight_28may/structural/rep1/fit_heckman-indiv-rfree_structural_N200_T52_seed4001.pkl,heckman-indiv-rfree,structural,4001,200,52,92,532.0,0.3951875206877604,0.3780169410580717,0.08446528760056538,0.07069793322123964,0.20108874841737642,,,,0.9986654003433114,0.4932237499721757,0.4932237499721757,,5.316739063412873,5.327152874034995,1947.3941681041654,2250.1830531422825,,3187.796956664304,2.1089718667416926,,,,
overnight_28may/structural/rep2/fit_BEMMAOR-global-rfree_structural_N200_T52_seed4002.pkl,BEMMAOR-global-rfree,structural,4002,200,52,92,6474.0,0.38732570861629484,0.3714779200422291,0.03919706144598556,0.8117694710170328,1.1270194556676723,2.092233209599234,0.5461166047996171,,0.5148754266090952,,,226.75052737027792,50.147423421675946,5.449290392990356,7.104487939772188,7.16369173751859,61.565372235980874,6.978208076859709,2.0572936519248644,,,,
overnight_28may/structural/rep2/fit_BEMMAOR-indiv-rfree_structural_N200_T52_seed4002.pkl,BEMMAOR-indiv-rfree,structural,4002,200,52,92,360.0,0.47716111454982,0.47403657140672584,0.04730634856511262,0.1681544822808916,0.10588616241512627,1.0718321245312004,0.03591606226560018,0.9301114763789088,0.7291439028508034,,,521.6381184682562,6.165457344554766,6.084235581581954,1600.3356139202401,3010.8145512645683,474.6203833981384,671.0318413109818,1.7651189182356182,,,,
overnight_28may/structural/rep2/fit_Heckman-global-rfree_structural_N200_T52_seed4002.pkl,Heckman-global-rfree,structural,4002,200,52,92,470.1,0.37319752424186187,0.3600677664270068,0.0561988775980509,0.2843273363876434,0.3184605633154763,,,,1.008582222834126,-0.0006232032025729328,0.0006232032025729328,,6.1833262984782085,5.31825172578987,1833.260459742336,2273.715041575995,,2862.203188151441,2.1001487376451644,,2936.053321930871,,
overnight_28may/structural/rep2/fit_Hurdle-rfree_structural_N200_T52_seed4002.pkl,Hurdle-rfree,structural,4002,200,52,92,522.3,0.3873918041522786,0.367340167329453,0.056261002448285614,0.14676422488189161,0.10819426283265161,,,,0.79344107242991,,,,5.704570483411809,5.363446719299281,968.9222103916252,1456.7288080300455,,87.28569902065712,2.1051461605528337,,,21.794721892385336,21.890487332136196
